Name	Args	"Return Type"
ginhandler	internal	index_am_handler
ginqueryarrayextract	"anyarray, internal, smallint, internal, internal, internal, internal"	internal
gist_box_compress	internal	internal
gist_box_consistent	"internal, box, smallint, oid, internal"	boolean
gist_box_decompress	internal	internal
gist_box_fetch	internal	internal
gist_box_penalty	"internal, internal, internal"	internal
gist_box_picksplit	"internal, internal"	internal
gist_box_same	"box, box, internal"	internal
gist_box_union	"internal, internal"	box
gist_circle_compress	internal	internal
gist_circle_consistent	"internal, circle, smallint, oid, internal"	boolean
gist_circle_distance	"internal, circle, smallint, oid, internal"	"double precision"
gist_point_compress	internal	internal
gist_point_consistent	"internal, point, smallint, oid, internal"	boolean
gist_point_distance	"internal, point, smallint, oid, internal"	"double precision"
gist_point_fetch	internal	internal
gist_poly_compress	internal	internal
gist_poly_consistent	"internal, polygon, smallint, oid, internal"	boolean
gist_poly_distance	"internal, polygon, smallint, oid, internal"	"double precision"
gisthandler	internal	index_am_handler
gtsquery_compress	internal	internal
gtsquery_consistent	"internal, internal, integer, oid, internal"	boolean
gtsquery_consistent	"internal, tsquery, smallint, oid, internal"	boolean
gtsquery_decompress	internal	internal
gtsquery_penalty	"internal, internal, internal"	internal
gtsquery_picksplit	"internal, internal"	internal
gtsquery_same	"bigint, bigint, internal"	internal
gtsquery_union	"internal, internal"	bigint
gtsvector_compress	internal	internal
gtsvector_consistent	"internal, gtsvector, integer, oid, internal"	boolean
gtsvector_consistent	"internal, tsvector, smallint, oid, internal"	boolean
gtsvector_decompress	internal	internal
gtsvector_penalty	"internal, internal, internal"	internal
gtsvector_picksplit	"internal, internal"	internal
gtsvector_same	"gtsvector, gtsvector, internal"	internal
gtsvector_union	"internal, internal"	gtsvector
gtsvectorin	cstring	gtsvector
gtsvectorout	gtsvector	cstring
has_any_column_privilege	"name, oid, text"	boolean
has_any_column_privilege	"name, text, text"	boolean
has_any_column_privilege	"oid, oid, text"	boolean
has_any_column_privilege	"oid, text"	boolean
has_any_column_privilege	"oid, text, text"	boolean
has_any_column_privilege	"text, text"	boolean
has_column_privilege	"name, oid, smallint, text"	boolean
has_column_privilege	"name, oid, text, text"	boolean
has_column_privilege	"name, text, smallint, text"	boolean
has_column_privilege	"name, text, text, text"	boolean
has_column_privilege	"oid, oid, smallint, text"	boolean
has_column_privilege	"oid, oid, text, text"	boolean
has_column_privilege	"oid, smallint, text"	boolean
has_column_privilege	"oid, text, smallint, text"	boolean
has_column_privilege	"oid, text, text"	boolean
has_column_privilege	"oid, text, text, text"	boolean
has_column_privilege	"text, smallint, text"	boolean
has_column_privilege	"text, text, text"	boolean
has_database_privilege	"name, oid, text"	boolean
has_database_privilege	"name, text, text"	boolean
has_database_privilege	"oid, oid, text"	boolean
has_database_privilege	"oid, text"	boolean
has_database_privilege	"oid, text, text"	boolean
has_database_privilege	"text, text"	boolean
has_foreign_data_wrapper_privilege	"name, oid, text"	boolean
has_foreign_data_wrapper_privilege	"name, text, text"	boolean
has_foreign_data_wrapper_privilege	"oid, oid, text"	boolean
has_foreign_data_wrapper_privilege	"oid, text"	boolean
has_foreign_data_wrapper_privilege	"oid, text, text"	boolean
has_foreign_data_wrapper_privilege	"text, text"	boolean
has_function_privilege	"name, oid, text"	boolean
has_function_privilege	"name, text, text"	boolean
has_function_privilege	"oid, oid, text"	boolean
has_function_privilege	"oid, text"	boolean
has_function_privilege	"oid, text, text"	boolean
has_function_privilege	"text, text"	boolean
has_language_privilege	"name, oid, text"	boolean
has_language_privilege	"name, text, text"	boolean
has_language_privilege	"oid, oid, text"	boolean
has_language_privilege	"oid, text"	boolean
has_language_privilege	"oid, text, text"	boolean
has_language_privilege	"text, text"	boolean
has_schema_privilege	"name, oid, text"	boolean
has_schema_privilege	"name, text, text"	boolean
has_schema_privilege	"oid, oid, text"	boolean
has_schema_privilege	"oid, text"	boolean
has_schema_privilege	"oid, text, text"	boolean
has_schema_privilege	"text, text"	boolean
has_sequence_privilege	"name, oid, text"	boolean
has_sequence_privilege	"name, text, text"	boolean
has_sequence_privilege	"oid, oid, text"	boolean
has_sequence_privilege	"oid, text"	boolean
has_sequence_privilege	"oid, text, text"	boolean
has_sequence_privilege	"text, text"	boolean
has_server_privilege	"name, oid, text"	boolean
has_server_privilege	"name, text, text"	boolean
has_server_privilege	"oid, oid, text"	boolean
has_server_privilege	"oid, text"	boolean
has_server_privilege	"oid, text, text"	boolean
has_server_privilege	"text, text"	boolean
has_table_privilege	"name, oid, text"	boolean
has_table_privilege	"name, text, text"	boolean
has_table_privilege	"oid, oid, text"	boolean
has_table_privilege	"oid, text"	boolean
has_table_privilege	"oid, text, text"	boolean
has_table_privilege	"text, text"	boolean
has_tablespace_privilege	"name, oid, text"	boolean
has_tablespace_privilege	"name, text, text"	boolean
has_tablespace_privilege	"oid, oid, text"	boolean
has_tablespace_privilege	"oid, text"	boolean
has_tablespace_privilege	"oid, text, text"	boolean
has_tablespace_privilege	"text, text"	boolean
has_type_privilege	"name, oid, text"	boolean
has_type_privilege	"name, text, text"	boolean
has_type_privilege	"oid, oid, text"	boolean
has_type_privilege	"oid, text"	boolean
has_type_privilege	"oid, text, text"	boolean
has_type_privilege	"text, text"	boolean
hash_aclitem	aclitem	integer
hash_array	anyarray	integer
hash_numeric	numeric	integer
hash_range	anyrange	integer
hashbpchar	character	integer
hashchar	"""char"""	integer
hashenum	anyenum	integer
hashfloat4	real	integer
hashfloat8	"double precision"	integer
hashhandler	internal	index_am_handler
hashinet	inet	integer
hashint2	smallint	integer
hashint4	integer	integer
hashint8	bigint	integer
hashmacaddr	macaddr	integer
hashmacaddr8	macaddr8	integer
hashname	name	integer
hashoid	oid	integer
hashoidvector	oidvector	integer
hashtext	text	integer
hashvarlena	internal	integer
height	box	"double precision"
host	inet	text
hostmask	inet	inet
iclikejoinsel	"internal, oid, internal, smallint, internal"	"double precision"
iclikesel	"internal, oid, internal, integer"	"double precision"
icnlikejoinsel	"internal, oid, internal, smallint, internal"	"double precision"
icnlikesel	"internal, oid, internal, integer"	"double precision"
icregexeqjoinsel	"internal, oid, internal, smallint, internal"	"double precision"
icregexeqsel	"internal, oid, internal, integer"	"double precision"
icregexnejoinsel	"internal, oid, internal, smallint, internal"	"double precision"
icregexnesel	"internal, oid, internal, integer"	"double precision"
index_am_handler_in	cstring	index_am_handler
index_am_handler_out	index_am_handler	cstring
inet_client_addr		inet
inet_client_port		integer
inet_gist_compress	internal	internal
inet_gist_consistent	"internal, inet, smallint, oid, internal"	boolean
inet_gist_decompress	internal	internal
inet_gist_fetch	internal	internal
inet_gist_penalty	"internal, internal, internal"	internal
inet_gist_picksplit	"internal, internal"	internal
inet_gist_same	"inet, inet, internal"	internal
inet_gist_union	"internal, internal"	inet
inet_in	cstring	inet
inet_merge	"inet, inet"	cidr
inet_out	inet	cstring
inet_recv	internal	inet
inet_same_family	"inet, inet"	boolean
inet_send	inet	bytea
inet_server_addr		inet
inet_server_port		integer
inet_spg_choose	"internal, internal"	void
inet_spg_config	"internal, internal"	void
inet_spg_inner_consistent	"internal, internal"	void
inet_spg_leaf_consistent	"internal, internal"	boolean
inet_spg_picksplit	"internal, internal"	void
inetand	"inet, inet"	inet
inetmi	"inet, inet"	bigint
inetmi_int8	"inet, bigint"	inet
inetnot	inet	inet
inetor	"inet, inet"	inet
inetpl	"inet, bigint"	inet
initcap	text	text
int2	bigint	smallint
int2	"double precision"	smallint
int2	integer	smallint
int2	numeric	smallint
int2	real	smallint
int24div	"smallint, integer"	integer
int24eq	"smallint, integer"	boolean
int24ge	"smallint, integer"	boolean
int24gt	"smallint, integer"	boolean
int24le	"smallint, integer"	boolean
int24lt	"smallint, integer"	boolean
int24mi	"smallint, integer"	integer
int24mul	"smallint, integer"	integer
int24ne	"smallint, integer"	boolean
int24pl	"smallint, integer"	integer
int28div	"smallint, bigint"	bigint
int28eq	"smallint, bigint"	boolean
int28ge	"smallint, bigint"	boolean
int28gt	"smallint, bigint"	boolean
int28le	"smallint, bigint"	boolean
int28lt	"smallint, bigint"	boolean
int28mi	"smallint, bigint"	bigint
int28mul	"smallint, bigint"	bigint
int28ne	"smallint, bigint"	boolean
int28pl	"smallint, bigint"	bigint
int2_accum	"internal, smallint"	internal
int2_accum_inv	"internal, smallint"	internal
int2_avg_accum	"bigint[], smallint"	bigint[]
int2_avg_accum_inv	"bigint[], smallint"	bigint[]
int2_mul_cash	"smallint, money"	money
int2_sum	"bigint, smallint"	bigint
int2abs	smallint	smallint
int2and	"smallint, smallint"	smallint
int2div	"smallint, smallint"	smallint
int2eq	"smallint, smallint"	boolean
int2ge	"smallint, smallint"	boolean
int2gt	"smallint, smallint"	boolean
int2in	cstring	smallint
int2int4_sum	bigint[]	bigint
int2larger	"smallint, smallint"	smallint
int2le	"smallint, smallint"	boolean
int2lt	"smallint, smallint"	boolean
int2mi	"smallint, smallint"	smallint
int2mod	"smallint, smallint"	smallint
int2mul	"smallint, smallint"	smallint
int2ne	"smallint, smallint"	boolean
int2not	smallint	smallint
int2or	"smallint, smallint"	smallint
int2out	smallint	cstring
int2pl	"smallint, smallint"	smallint
int2recv	internal	smallint
int2send	smallint	bytea
int2shl	"smallint, integer"	smallint
int2shr	"smallint, integer"	smallint
int2smaller	"smallint, smallint"	smallint
int2um	smallint	smallint
int2up	smallint	smallint
int2vectorin	cstring	int2vector
int2vectorout	int2vector	cstring
int2vectorrecv	internal	int2vector
int2vectorsend	int2vector	bytea
int2xor	"smallint, smallint"	smallint
int4	"""char"""	integer
int4	bigint	integer
int4	bit	integer
int4	boolean	integer
int4	"double precision"	integer
int4	numeric	integer
int4	real	integer
int4	smallint	integer
int42div	"integer, smallint"	integer
int42eq	"integer, smallint"	boolean
int42ge	"integer, smallint"	boolean
int42gt	"integer, smallint"	boolean
int42le	"integer, smallint"	boolean
int42lt	"integer, smallint"	boolean
int42mi	"integer, smallint"	integer
int42mul	"integer, smallint"	integer
int42ne	"integer, smallint"	boolean
int42pl	"integer, smallint"	integer
int48div	"integer, bigint"	bigint
int48eq	"integer, bigint"	boolean
int48ge	"integer, bigint"	boolean
int48gt	"integer, bigint"	boolean
int48le	"integer, bigint"	boolean
int48lt	"integer, bigint"	boolean
int48mi	"integer, bigint"	bigint
int48mul	"integer, bigint"	bigint
int48ne	"integer, bigint"	boolean
int48pl	"integer, bigint"	bigint
int4_accum	"internal, integer"	internal
int4_accum_inv	"internal, integer"	internal
int4_avg_accum	"bigint[], integer"	bigint[]
int4_avg_accum_inv	"bigint[], integer"	bigint[]
int4_avg_combine	"bigint[], bigint[]"	bigint[]
int4_mul_cash	"integer, money"	money
int4_sum	"bigint, integer"	bigint
int4abs	integer	integer
int4and	"integer, integer"	integer
int4div	"integer, integer"	integer
int4eq	"integer, integer"	boolean
int4ge	"integer, integer"	boolean
int4gt	"integer, integer"	boolean
int4in	cstring	integer
int4inc	integer	integer
int4larger	"integer, integer"	integer
int4le	"integer, integer"	boolean
int4lt	"integer, integer"	boolean
int4mi	"integer, integer"	integer
int4mod	"integer, integer"	integer
int4mul	"integer, integer"	integer
int4ne	"integer, integer"	boolean
int4not	integer	integer
int4or	"integer, integer"	integer
int4out	integer	cstring
int4pl	"integer, integer"	integer
int4range	"integer, integer"	int4range
int4range	"integer, integer, text"	int4range
int4range_canonical	int4range	int4range
int4range_subdiff	"integer, integer"	"double precision"
int4recv	internal	integer
int4send	integer	bytea
int4shl	"integer, integer"	integer
int4shr	"integer, integer"	integer
int4smaller	"integer, integer"	integer
int4um	integer	integer
int4up	integer	integer
int4xor	"integer, integer"	integer
int8	bit	bigint
int8	"double precision"	bigint
int8	integer	bigint
int8	numeric	bigint
int8	oid	bigint
int8	real	bigint
int8	smallint	bigint
int82div	"bigint, smallint"	bigint
int82eq	"bigint, smallint"	boolean
int82ge	"bigint, smallint"	boolean
int82gt	"bigint, smallint"	boolean
int82le	"bigint, smallint"	boolean
int82lt	"bigint, smallint"	boolean
int82mi	"bigint, smallint"	bigint
int82mul	"bigint, smallint"	bigint
int82ne	"bigint, smallint"	boolean
int82pl	"bigint, smallint"	bigint
int84div	"bigint, integer"	bigint
int84eq	"bigint, integer"	boolean
int84ge	"bigint, integer"	boolean
int84gt	"bigint, integer"	boolean
int84le	"bigint, integer"	boolean
int84lt	"bigint, integer"	boolean
int84mi	"bigint, integer"	bigint
int84mul	"bigint, integer"	bigint
int84ne	"bigint, integer"	boolean
int84pl	"bigint, integer"	bigint
int8_accum	"internal, bigint"	internal
int8_accum_inv	"internal, bigint"	internal
int8_avg	bigint[]	numeric
int8_avg_accum	"internal, bigint"	internal
int8_avg_accum_inv	"internal, bigint"	internal
int8_avg_combine	"internal, internal"	internal
int8_avg_deserialize	"bytea, internal"	internal
int8_avg_serialize	internal	bytea
int8_mul_cash	"bigint, money"	money
int8_sum	"numeric, bigint"	numeric
int8abs	bigint	bigint
int8and	"bigint, bigint"	bigint
int8dec	bigint	bigint
int8dec_any	"bigint, ""any"""	bigint
int8div	"bigint, bigint"	bigint
int8eq	"bigint, bigint"	boolean
int8ge	"bigint, bigint"	boolean
int8gt	"bigint, bigint"	boolean
int8in	cstring	bigint
int8inc	bigint	bigint
int8inc_any	"bigint, ""any"""	bigint
int8inc_float8_float8	"bigint, double precision, double precision"	bigint
int8larger	"bigint, bigint"	bigint
int8le	"bigint, bigint"	boolean
int8lt	"bigint, bigint"	boolean
int8mi	"bigint, bigint"	bigint
int8mod	"bigint, bigint"	bigint
int8mul	"bigint, bigint"	bigint
int8ne	"bigint, bigint"	boolean
int8not	bigint	bigint
int8or	"bigint, bigint"	bigint
int8out	bigint	cstring
int8pl	"bigint, bigint"	bigint
int8pl_inet	"bigint, inet"	inet
int8range	"bigint, bigint"	int8range
int8range	"bigint, bigint, text"	int8range
int8range_canonical	int8range	int8range
int8range_subdiff	"bigint, bigint"	"double precision"
int8recv	internal	bigint
int8send	bigint	bytea
int8shl	"bigint, integer"	bigint
int8shr	"bigint, integer"	bigint
int8smaller	"bigint, bigint"	bigint
int8um	bigint	bigint
int8up	bigint	bigint
int8xor	"bigint, bigint"	bigint
integer_pl_date	"integer, date"	date
inter_lb	"line, box"	boolean
inter_sb	"lseg, box"	boolean
inter_sl	"lseg, line"	boolean
internal_in	cstring	internal
internal_out	internal	cstring
interval	"interval, integer"	interval
interval	reltime	interval
interval	"time without time zone"	interval
interval_accum	"interval[], interval"	interval[]
interval_accum_inv	"interval[], interval"	interval[]
interval_avg	interval[]	interval
interval_cmp	"interval, interval"	integer
interval_combine	"interval[], interval[]"	interval[]
interval_div	"interval, double precision"	interval
interval_eq	"interval, interval"	boolean
interval_ge	"interval, interval"	boolean
interval_gt	"interval, interval"	boolean
interval_hash	interval	integer
interval_in	"cstring, oid, integer"	interval
interval_larger	"interval, interval"	interval
interval_le	"interval, interval"	boolean
interval_lt	"interval, interval"	boolean
interval_mi	"interval, interval"	interval
interval_mul	"interval, double precision"	interval
interval_ne	"interval, interval"	boolean
interval_out	interval	cstring
interval_pl	"interval, interval"	interval
interval_pl_date	"interval, date"	"timestamp without time zone"
interval_pl_time	"interval, time without time zone"	"time without time zone"
interval_pl_timestamp	"interval, timestamp without time zone"	"timestamp without time zone"
interval_pl_timestamptz	"interval, timestamp with time zone"	"timestamp with time zone"
interval_pl_timetz	"interval, time with time zone"	"time with time zone"
interval_recv	"internal, oid, integer"	interval
interval_send	interval	bytea
interval_smaller	"interval, interval"	interval
interval_transform	internal	internal
interval_um	interval	interval
intervaltypmodin	cstring[]	integer
intervaltypmodout	integer	cstring
intinterval	"abstime, tinterval"	boolean
isclosed	path	boolean
isempty	anyrange	boolean
isfinite	abstime	boolean
isfinite	date	boolean
isfinite	interval	boolean
isfinite	"timestamp with time zone"	boolean
isfinite	"timestamp without time zone"	boolean
ishorizontal	line	boolean
ishorizontal	lseg	boolean
ishorizontal	"point, point"	boolean
iso8859_1_to_utf8	"integer, integer, cstring, internal, integer"	void
iso8859_to_utf8	"integer, integer, cstring, internal, integer"	void
iso_to_koi8r	"integer, integer, cstring, internal, integer"	void
iso_to_mic	"integer, integer, cstring, internal, integer"	void
iso_to_win1251	"integer, integer, cstring, internal, integer"	void
iso_to_win866	"integer, integer, cstring, internal, integer"	void
isopen	path	boolean
isparallel	"line, line"	boolean
isparallel	"lseg, lseg"	boolean
isperp	"line, line"	boolean
isperp	"lseg, lseg"	boolean
isvertical	line	boolean
isvertical	lseg	boolean
isvertical	"point, point"	boolean
johab_to_utf8	"integer, integer, cstring, internal, integer"	void
json_agg	anyelement	json
json_agg_finalfn	internal	json
json_agg_transfn	"internal, anyelement"	internal
json_array_element	"from_json json, element_index integer"	json
json_array_element_text	"from_json json, element_index integer"	text
json_array_elements	"from_json json, OUT value json"	"SETOF json"
json_array_elements_text	"from_json json, OUT value text"	"SETOF text"
json_array_length	json	integer
json_build_array		json
json_build_array	"VARIADIC ""any"""	json
json_build_object		json
json_build_object	"VARIADIC ""any"""	json
json_each	"from_json json, OUT key text, OUT value json"	"SETOF record"
json_each_text	"from_json json, OUT key text, OUT value text"	"SETOF record"
json_extract_path	"from_json json, VARIADIC path_elems text[]"	json
json_extract_path_text	"from_json json, VARIADIC path_elems text[]"	text
json_in	cstring	json
json_object	text[]	json
json_object	"text[], text[]"	json
json_object_agg	"""any"", ""any"""	json
json_object_agg_finalfn	internal	json
json_object_agg_transfn	"internal, ""any"", ""any"""	internal
json_object_field	"from_json json, field_name text"	json
json_object_field_text	"from_json json, field_name text"	text
json_object_keys	json	"SETOF text"
json_out	json	cstring
json_populate_record	"base anyelement, from_json json, use_json_as_text boolean"	anyelement
json_populate_recordset	"base anyelement, from_json json, use_json_as_text boolean"	"SETOF anyelement"
json_recv	internal	json
json_send	json	bytea
json_strip_nulls	json	json
json_to_record	json	record
json_to_recordset	json	"SETOF record"
json_typeof	json	text
jsonb_agg	anyelement	jsonb
jsonb_agg_finalfn	internal	jsonb
jsonb_agg_transfn	"internal, anyelement"	internal
jsonb_array_element	"from_json jsonb, element_index integer"	jsonb
jsonb_array_element_text	"from_json jsonb, element_index integer"	text
jsonb_array_elements	"from_json jsonb, OUT value jsonb"	"SETOF jsonb"
jsonb_array_elements_text	"from_json jsonb, OUT value text"	"SETOF text"
jsonb_array_length	jsonb	integer
jsonb_build_array		jsonb
jsonb_build_array	"VARIADIC ""any"""	jsonb
jsonb_build_object		jsonb
jsonb_build_object	"VARIADIC ""any"""	jsonb
jsonb_cmp	"jsonb, jsonb"	integer
jsonb_concat	"jsonb, jsonb"	jsonb
jsonb_contained	"jsonb, jsonb"	boolean
jsonb_contains	"jsonb, jsonb"	boolean
jsonb_delete	"from_json jsonb, VARIADIC path_elems text[]"	jsonb
jsonb_delete	"jsonb, integer"	jsonb
jsonb_delete	"jsonb, text"	jsonb
jsonb_delete_path	"jsonb, text[]"	jsonb
jsonb_each	"from_json jsonb, OUT key text, OUT value jsonb"	"SETOF record"
jsonb_each_text	"from_json jsonb, OUT key text, OUT value text"	"SETOF record"
jsonb_eq	"jsonb, jsonb"	boolean
jsonb_exists	"jsonb, text"	boolean
jsonb_exists_all	"jsonb, text[]"	boolean
jsonb_exists_any	"jsonb, text[]"	boolean
jsonb_extract_path	"from_json jsonb, VARIADIC path_elems text[]"	jsonb
jsonb_extract_path_text	"from_json jsonb, VARIADIC path_elems text[]"	text
jsonb_ge	"jsonb, jsonb"	boolean
jsonb_gt	"jsonb, jsonb"	boolean
jsonb_hash	jsonb	integer
jsonb_in	cstring	jsonb
jsonb_insert	"jsonb_in jsonb, path text[], replacement jsonb, insert_after boolean"	jsonb
jsonb_le	"jsonb, jsonb"	boolean
jsonb_lt	"jsonb, jsonb"	boolean
jsonb_ne	"jsonb, jsonb"	boolean
jsonb_object	text[]	jsonb
jsonb_object	"text[], text[]"	jsonb
jsonb_object_agg	"""any"", ""any"""	jsonb
jsonb_object_agg_finalfn	internal	jsonb
jsonb_object_agg_transfn	"internal, ""any"", ""any"""	internal
jsonb_object_field	"from_json jsonb, field_name text"	jsonb
jsonb_object_field_text	"from_json jsonb, field_name text"	text
jsonb_object_keys	jsonb	"SETOF text"
jsonb_out	jsonb	cstring
jsonb_populate_record	"anyelement, jsonb"	anyelement
jsonb_populate_recordset	"anyelement, jsonb"	"SETOF anyelement"
jsonb_pretty	jsonb	text
jsonb_recv	internal	jsonb
jsonb_send	jsonb	bytea
jsonb_set	"jsonb_in jsonb, path text[], replacement jsonb, create_if_missing boolean"	jsonb
jsonb_strip_nulls	jsonb	jsonb
jsonb_to_record	jsonb	record
jsonb_to_recordset	jsonb	"SETOF record"
jsonb_typeof	jsonb	text
justify_days	interval	interval
justify_hours	interval	interval
justify_interval	interval	interval
koi8r_to_iso	"integer, integer, cstring, internal, integer"	void
koi8r_to_mic	"integer, integer, cstring, internal, integer"	void
koi8r_to_utf8	"integer, integer, cstring, internal, integer"	void
koi8r_to_win1251	"integer, integer, cstring, internal, integer"	void
koi8r_to_win866	"integer, integer, cstring, internal, integer"	void
koi8u_to_utf8	"integer, integer, cstring, internal, integer"	void
lag	anyelement	anyelement
lag	"anyelement, integer"	anyelement
lag	"anyelement, integer, anyelement"	anyelement
language_handler_in	cstring	language_handler
language_handler_out	language_handler	cstring
last_value	anyelement	anyelement
lastval		bigint
latin1_to_mic	"integer, integer, cstring, internal, integer"	void
latin2_to_mic	"integer, integer, cstring, internal, integer"	void
latin2_to_win1250	"integer, integer, cstring, internal, integer"	void
latin3_to_mic	"integer, integer, cstring, internal, integer"	void
latin4_to_mic	"integer, integer, cstring, internal, integer"	void
lead	anyelement	anyelement
lead	"anyelement, integer"	anyelement
lead	"anyelement, integer, anyelement"	anyelement
left	"text, integer"	text
length	bit	integer
length	bytea	integer
length	"bytea, name"	integer
length	character	integer
length	lseg	"double precision"
length	path	"double precision"
length	text	integer
length	tsvector	integer
like	"bytea, bytea"	boolean
like	"name, text"	boolean
like	"text, text"	boolean
like_escape	"bytea, bytea"	bytea
like_escape	"text, text"	text
likejoinsel	"internal, oid, internal, smallint, internal"	"double precision"
likesel	"internal, oid, internal, integer"	"double precision"
line	"point, point"	line
line_distance	"line, line"	"double precision"
line_eq	"line, line"	boolean
line_horizontal	line	boolean
line_in	cstring	line
line_interpt	"line, line"	point
line_intersect	"line, line"	boolean
line_out	line	cstring
line_parallel	"line, line"	boolean
line_perp	"line, line"	boolean
line_recv	internal	line
line_send	line	bytea
line_vertical	line	boolean
ln	"double precision"	"double precision"
ln	numeric	numeric
lo_close	integer	integer
lo_creat	integer	oid
lo_create	oid	oid
lo_export	"oid, text"	integer
lo_from_bytea	"oid, bytea"	oid
lo_get	oid	bytea
lo_get	"oid, bigint, integer"	bytea
lo_import	text	oid
lo_import	"text, oid"	oid
lo_lseek	"integer, integer, integer"	integer
lo_lseek64	"integer, bigint, integer"	bigint
lo_open	"oid, integer"	integer
lo_put	"oid, bigint, bytea"	void
lo_tell	integer	integer
lo_tell64	integer	bigint
lo_truncate	"integer, integer"	integer
lo_truncate64	"integer, bigint"	integer
lo_unlink	oid	integer
log	"double precision"	"double precision"
log	numeric	numeric
log	"numeric, numeric"	numeric
loread	"integer, integer"	bytea
lower	anyrange	anyelement
lower	text	text
lower_inc	anyrange	boolean
lower_inf	anyrange	boolean
lowrite	"integer, bytea"	integer
lpad	"text, integer"	text
lpad	"text, integer, text"	text
lseg	box	lseg
lseg	"point, point"	lseg
lseg_center	lseg	point
lseg_distance	"lseg, lseg"	"double precision"
lseg_eq	"lseg, lseg"	boolean
lseg_ge	"lseg, lseg"	boolean
lseg_gt	"lseg, lseg"	boolean
lseg_horizontal	lseg	boolean
lseg_in	cstring	lseg
lseg_interpt	"lseg, lseg"	point
lseg_intersect	"lseg, lseg"	boolean
lseg_le	"lseg, lseg"	boolean
lseg_length	lseg	"double precision"
lseg_lt	"lseg, lseg"	boolean
lseg_ne	"lseg, lseg"	boolean
lseg_out	lseg	cstring
lseg_parallel	"lseg, lseg"	boolean
lseg_perp	"lseg, lseg"	boolean
lseg_recv	internal	lseg
lseg_send	lseg	bytea
lseg_vertical	lseg	boolean
ltrim	text	text
ltrim	"text, text"	text
macaddr	macaddr8	macaddr
macaddr8	macaddr	macaddr8
macaddr8_and	"macaddr8, macaddr8"	macaddr8
macaddr8_cmp	"macaddr8, macaddr8"	integer
macaddr8_eq	"macaddr8, macaddr8"	boolean
macaddr8_ge	"macaddr8, macaddr8"	boolean
macaddr8_gt	"macaddr8, macaddr8"	boolean
macaddr8_in	cstring	macaddr8
macaddr8_le	"macaddr8, macaddr8"	boolean
macaddr8_lt	"macaddr8, macaddr8"	boolean
macaddr8_ne	"macaddr8, macaddr8"	boolean
macaddr8_not	macaddr8	macaddr8
macaddr8_or	"macaddr8, macaddr8"	macaddr8
macaddr8_out	macaddr8	cstring
macaddr8_recv	internal	macaddr8
macaddr8_send	macaddr8	bytea
macaddr8_set7bit	macaddr8	macaddr8
macaddr_and	"macaddr, macaddr"	macaddr
macaddr_cmp	"macaddr, macaddr"	integer
macaddr_eq	"macaddr, macaddr"	boolean
macaddr_ge	"macaddr, macaddr"	boolean
macaddr_gt	"macaddr, macaddr"	boolean
macaddr_in	cstring	macaddr
macaddr_le	"macaddr, macaddr"	boolean
macaddr_lt	"macaddr, macaddr"	boolean
macaddr_ne	"macaddr, macaddr"	boolean
macaddr_not	macaddr	macaddr
macaddr_or	"macaddr, macaddr"	macaddr
macaddr_out	macaddr	cstring
macaddr_recv	internal	macaddr
macaddr_send	macaddr	bytea
macaddr_sortsupport	internal	void
make_date	"year integer, month integer, day integer"	date
make_interval	"years integer, months integer, weeks integer, days integer, hours integer, mins integer, secs double precision"	interval
make_time	"hour integer, min integer, sec double precision"	"time without time zone"
make_timestamp	"year integer, month integer, mday integer, hour integer, min integer, sec double precision"	"timestamp without time zone"
make_timestamptz	"year integer, month integer, mday integer, hour integer, min integer, sec double precision"	"timestamp with time zone"
make_timestamptz	"year integer, month integer, mday integer, hour integer, min integer, sec double precision, timezone text"	"timestamp with time zone"
makeaclitem	"oid, oid, text, boolean"	aclitem
masklen	inet	integer
max	abstime	abstime
max	anyarray	anyarray
max	anyenum	anyenum
max	bigint	bigint
max	character	character
max	date	date
max	"double precision"	"double precision"
max	inet	inet
max	integer	integer
max	interval	interval
max	money	money
max	numeric	numeric
max	oid	oid
max	real	real
max	smallint	smallint
max	text	text
max	tid	tid
max	"time with time zone"	"time with time zone"
max	"time without time zone"	"time without time zone"
max	"timestamp with time zone"	"timestamp with time zone"
max	"timestamp without time zone"	"timestamp without time zone"
md5	bytea	text
md5	text	text
mic_to_ascii	"integer, integer, cstring, internal, integer"	void
mic_to_big5	"integer, integer, cstring, internal, integer"	void
mic_to_euc_cn	"integer, integer, cstring, internal, integer"	void
mic_to_euc_jp	"integer, integer, cstring, internal, integer"	void
mic_to_euc_kr	"integer, integer, cstring, internal, integer"	void
mic_to_euc_tw	"integer, integer, cstring, internal, integer"	void
mic_to_iso	"integer, integer, cstring, internal, integer"	void
mic_to_koi8r	"integer, integer, cstring, internal, integer"	void
mic_to_latin1	"integer, integer, cstring, internal, integer"	void
mic_to_latin2	"integer, integer, cstring, internal, integer"	void
mic_to_latin3	"integer, integer, cstring, internal, integer"	void
mic_to_latin4	"integer, integer, cstring, internal, integer"	void
mic_to_sjis	"integer, integer, cstring, internal, integer"	void
mic_to_win1250	"integer, integer, cstring, internal, integer"	void
mic_to_win1251	"integer, integer, cstring, internal, integer"	void
mic_to_win866	"integer, integer, cstring, internal, integer"	void
min	abstime	abstime
min	anyarray	anyarray
min	anyenum	anyenum
min	bigint	bigint
min	character	character
min	date	date
min	"double precision"	"double precision"
min	inet	inet
min	integer	integer
min	interval	interval
min	money	money
min	numeric	numeric
min	oid	oid
min	real	real
min	smallint	smallint
min	text	text
min	tid	tid
